,Unnamed: 0,userID,movieID,rating,time
7490,7490,53,1296,5,977982675
7491,7491,53,764,5,977985174
7492,7492,53,1299,5,977950075
7493,7493,53,838,4,977985703
7494,7494,53,766,4,977984518
7496,7496,53,697,4,977987497
7497,7497,53,2311,5,977976632
7498,7498,53,3114,5,977949668
7499,7499,53,2313,5,977983335
7500,7500,53,3044,5,977973728
7502,7502,53,1513,5,977949561
7503,7503,53,3045,5,977987999
7505,7505,53,1370,4,977974162
7506,7506,53,1371,4,977977489
7507,7507,53,2174,5,977981423
7508,7508,53,912,5,977950042
7509,7509,53,2248,5,977982905
7510,7510,53,913,5,977949368
7511,7511,53,1374,4,977976020
7512,7512,53,914,5,977979589
7513,7513,53,2178,5,977973728
7515,7515,53,919,5,977979520
7516,7516,53,846,5,977984495
7518,7518,53,2322,4,977950548
7520,7520,53,2324,5,977981936
7521,7521,53,1522,4,977988752
7522,7522,53,2252,5,977986413
7523,7523,53,2253,5,977981686
7525,7525,53,1380,5,977979846
7526,7526,53,920,5,977982633
7527,7527,53,2183,5,977973828
7528,7528,53,1527,4,977976353
7529,7529,53,922,5,977981184
7530,7530,53,2186,5,977972897
7531,7531,53,924,5,977953833
7532,7532,53,1459,4,977974218
7534,7534,53,1387,5,977980073
7536,7536,53,858,5,977981783
7541,7541,53,3063,4,977975456
7542,7542,53,2407,4,977976185
7543,7543,53,2336,5,977949103
7545,7545,53,1608,5,977974662
7546,7546,53,3067,5,977984518
7548,7548,53,2193,5,977981548
7549,7549,53,1391,5,977950548
7550,7550,53,2194,4,977984747
7551,7551,53,1392,5,977984607
7552,7552,53,2268,4,977984765
7553,7553,53,1466,5,977984409
7554,7554,53,1393,5,977983143
7555,7555,53,1395,4,977986084
7556,7556,53,1396,4,977976353
7557,7557,53,866,5,977973828
7558,7558,53,799,5,977980147
7560,7560,53,1610,5,977972961
7561,7561,53,2413,5,977979428
7562,7562,53,1611,5,977986238
7564,7564,53,2273,5,977974764
7565,7565,53,1617,5,977953833
7566,7566,53,1619,5,977950489
7567,7567,53,3078,5,977984409
7568,7568,53,2349,5,977974071
7569,7569,53,2278,5,977972961
7570,7570,53,1476,4,977985703
7574,7574,53,1620,4,977986913
7575,7575,53,1621,4,977986084
7576,7576,53,3153,5,977981548
7578,7578,53,2353,5,977974136
7580,7580,53,1625,5,977973989
7583,7583,53,2355,5,977948959
7584,7584,53,1480,5,977974838
7586,7586,53,1554,5,977984747
7589,7589,53,950,5,977978671
7590,7590,53,2288,5,977974162
7591,7591,53,1487,4,977979906
7592,7592,53,953,5,977982905
7594,7594,53,2502,4,977949481
7595,7595,53,1701,4,977985663
7596,7596,53,3307,5,977981973
7597,7597,53,1704,5,977982185
7598,7598,53,1633,4,977985081
7599,7599,53,3092,5,977981809
7600,7600,53,2363,5,977976093
7601,7601,53,2291,4,977983354
7602,7602,53,1635,5,977984368
7603,7603,53,3095,5,977982579
7604,7604,53,2366,5,977980073
7605,7605,53,1639,4,977984328
7607,7607,53,3098,4,977984657
7608,7608,53,2369,5,977949058
7609,7609,53,963,5,977979846
7610,7610,53,1498,4,977984439
7612,7612,53,893,4,977987999
7613,7613,53,968,5,977949481
7614,7614,53,969,5,977950202
7615,7615,53,1711,4,977979428
7616,7616,53,3246,4,977984657
7617,7617,53,2517,4,977980624
7618,7618,53,3174,5,977949368
7619,7619,53,100,5,977975029
7620,7620,53,3175,5,977949217
7621,7621,53,3249,5,977974764
7624,7624,53,1573,4,977976596
7625,7625,53,3179,5,977948848
7626,7626,53,2377,5,977976632
7627,7627,53,1648,4,977974218
7628,7628,53,3252,4,977984765
7629,7629,53,2450,4,977977947
7631,7631,53,3326,4,977977522
7632,7632,53,3255,4,977985081
7633,7633,53,3256,5,977973857
7635,7635,53,2455,4,977976185
7637,7637,53,1653,5,977974071
7638,7638,53,1580,5,977976467
7639,7639,53,2529,5,977976093
7641,7641,53,1729,4,977985081
7642,7642,53,2459,5,977980829
7643,7643,53,1584,5,977976093
7644,7644,53,1658,5,977975206
7645,7645,53,2389,5,977975656
7646,7646,53,1589,5,977985930
7648,7648,53,3260,5,977982752
7650,7650,53,2605,4,977949103
7653,7653,53,1732,5,977974238
7654,7654,53,3264,4,977980540
7655,7655,53,1660,5,977985746
7656,7656,53,3266,5,977984851
7657,7657,53,1735,4,977985339
7658,7658,53,3267,5,977973728
7662,7662,53,3196,5,977950075
7663,7663,53,2467,5,977978671
7666,7666,53,2395,5,977949597
7667,7667,53,123,5,977979375
7668,7668,53,3198,5,977983143
7669,7669,53,2396,5,977949597
7671,7671,53,1597,4,977974764
7672,7672,53,994,5,977982783
7673,7673,53,1810,5,977985174
7674,7674,53,3342,5,977950236
7675,7675,53,2613,4,977976632
7676,7676,53,3270,4,977985746
7678,7678,53,2542,5,977973857
7679,7679,53,3418,5,977984409
7682,7682,53,1674,5,977972961
7683,7683,53,1748,4,977973728
7686,7686,53,1678,5,977983143
7687,7687,53,3424,5,977984124
7688,7688,53,2628,4,977976632
7689,7689,53,1680,5,977984657
7690,7690,53,3285,4,977948890
7691,7691,53,1754,5,977974764
7692,7692,53,1682,5,977984124
7693,7693,53,1686,4,977974838
7694,7694,53,1687,5,977975068
7697,7697,53,148,5,977987826
7699,7699,53,3505,5,977973175
7700,7700,53,2706,5,977948809
7702,7702,53,3509,4,977985663
7706,7706,53,2490,5,977949481
7708,7708,53,1836,5,977987956
7709,7709,53,1690,4,977976676
7710,7710,53,2639,5,977985009
7711,7711,53,222,5,977984231
7712,7712,53,1693,4,977986010
7713,7713,53,223,5,977949021
7714,7714,53,150,5,977982783
7716,7716,53,1769,5,977974838
7717,7717,53,3512,4,977949561
7718,7718,53,2710,5,977948890
7719,7719,53,2712,5,977949181
7720,7720,53,2640,5,977976377
7721,7721,53,1911,4,977949058
7724,7724,53,1913,4,977982682
7725,7725,53,2716,5,977949217
7727,7727,53,2571,5,977972926
7728,7728,53,2718,5,977949103
7730,7730,53,300,5,977984072
7731,7731,53,3448,5,977950289
7733,7733,53,1918,4,977987497
7734,7734,53,1845,5,977973989
7736,7736,53,302,5,977984903
7737,7737,53,2575,5,977949103
7738,7738,53,230,5,977974218
7740,7740,53,232,5,977984009
7741,7741,53,233,5,977949181
7743,7743,53,307,5,977984471
7744,7744,53,235,5,977984471
7745,7745,53,1779,4,977975456
7747,7747,53,164,5,977974188
7753,7753,53,2723,5,977949405
7754,7754,53,1921,5,977973989
7755,7755,53,3526,5,977984029
7756,7756,53,3527,5,977973857
7758,7758,53,2580,5,977949217
7759,7759,53,2581,5,977949405
7760,7760,53,2728,5,977982185
7761,7761,53,2657,4,977976676
7762,7762,53,1784,5,977984009
7764,7764,53,316,4,977976676
7766,7766,53,318,5,977981832
7767,7767,53,172,4,977975420
7768,7768,53,319,5,977973828
7769,7769,53,173,4,977977947
7770,7770,53,247,5,977973053
7773,7773,53,177,4,977980747
7774,7774,53,3600,4,977979943
7776,7776,53,3605,4,977979957
7777,7777,53,3464,4,977975869
7779,7779,53,2662,5,977950192
7781,7781,53,3393,4,977981686
7782,7782,53,2739,5,977984072
7783,7783,53,322,5,977984231
7785,7785,53,2598,4,977949516
7786,7786,53,326,5,977984124
7788,7788,53,2599,5,977949103
7790,7790,53,184,5,977988856
7791,7791,53,259,4,977986431
7792,7792,53,188,5,977980798
7793,7793,53,3471,5,977975993
7795,7795,53,2746,5,977979794
7796,7796,53,3476,5,977972961
7798,7798,53,1946,5,977983102
7799,7799,53,1873,5,977981783
7800,7800,53,1009,4,977981548
7803,7803,53,3479,5,977981473
7804,7804,53,1876,4,977974587
7805,7805,53,260,5,977975954
7806,7806,53,190,5,977974108
7807,7807,53,337,4,977983354
7808,7808,53,265,4,977982185
7809,7809,53,16,5,977973053
7810,7810,53,193,4,977988802
7811,7811,53,17,5,977983091
7812,7812,53,18,4,977975068
7813,7813,53,268,4,977987826
7814,7814,53,269,4,977986238
7815,7815,53,196,4,977977522
7817,7817,53,199,5,977979551
7818,7818,53,3620,5,977986392
7819,7819,53,3550,5,977980540
7820,7820,53,2750,5,977983946
7821,7821,53,1950,5,977978671
7823,7823,53,1952,5,977981936
7824,7824,53,3557,4,977974764
7825,7825,53,2683,5,977948848
7826,7826,53,1954,5,977983380
7828,7828,53,412,4,977986392
7829,7829,53,1019,4,977976120
7830,7830,53,1884,4,977986238
7831,7831,53,341,5,977985310
7834,7834,53,21,4,977984565
7835,7835,53,22,4,977974311
7836,7836,53,1888,4,977987470
7837,7837,53,345,5,977986324
7838,7838,53,272,5,977984072
7839,7839,53,25,5,977984268
7840,7840,53,349,4,977974108
7841,7841,53,29,5,977975993
7842,7842,53,3701,4,977976377
7843,7843,53,3702,5,977976185
7844,7844,53,3703,5,977975993
7845,7845,53,2901,4,977949481
7846,7846,53,3704,4,977976717
7847,7847,53,3708,5,977975456
7848,7848,53,2761,5,977949326
7849,7849,53,1022,4,977979615
7850,7850,53,2762,5,977949597
7851,7851,53,1960,5,977950113
7852,7852,53,3565,5,977949703
7853,7853,53,1961,4,977946355
7854,7854,53,1962,5,977983335
7855,7855,53,2692,5,977949561
7856,7856,53,1028,5,977979615
7857,7857,53,1029,5,977979760
7858,7858,53,1967,5,977981473
7859,7859,53,3499,5,977980114
7860,7860,53,1968,4,977984328
7861,7861,53,353,4,977974238
7862,7862,53,280,5,977974218
7863,7863,53,2699,4,977948848
7865,7865,53,281,5,977984695
7866,7866,53,32,4,977976020
7867,7867,53,282,5,977987470
7868,7868,53,356,5,977950265
7869,7869,53,34,5,977982851
7870,7870,53,35,5,977986492
7871,7871,53,358,4,977985930
7873,7873,53,2841,4,977949633
7874,7874,53,3571,5,977984903
7875,7875,53,1103,5,977983354
7876,7876,53,1030,4,977979906
7877,7877,53,2916,4,977974071
7878,7878,53,2770,4,977948959
7879,7879,53,1031,5,977979794
7880,7880,53,1032,5,977979726
7881,7881,53,2919,5,977985339
7882,7882,53,501,4,977983380
7883,7883,53,1035,5,977979615
7884,7884,53,1036,5,977972925
7885,7885,53,3578,5,977949217
7888,7888,53,431,4,977984268
7889,7889,53,432,4,977949967
7890,7890,53,506,5,977986324
7892,7892,53,509,5,977984009
7894,7894,53,290,5,977984328
7895,7895,53,364,4,977979551
7897,7897,53,293,5,977972897
7898,7898,53,45,5,977985797
7899,7899,53,368,4,977949861
7900,7900,53,47,5,977973053
7901,7901,53,296,5,977982054
7903,7903,53,2851,4,977975307
7904,7904,53,3654,5,977950075
7905,7905,53,1041,5,977984183
7907,7907,53,1043,4,977988255
7909,7909,53,1982,5,977980147
7910,7910,53,2858,5,977948809
7911,7911,53,1046,5,977982826
7912,7912,53,513,4,977979428
7913,7913,53,1047,4,977974838
7914,7914,53,2787,4,977980579
7915,7915,53,515,5,977984029
7917,7917,53,2789,5,977980283
7919,7919,53,50,5,977952986
7921,7921,53,446,5,977984959
7922,7922,53,448,5,977985197
7924,7924,53,377,4,977974136
7925,7925,53,3802,4,977977947
7927,7927,53,3591,5,977985746
7930,7930,53,3668,5,977984409
7932,7932,53,1991,4,977980855
7933,7933,53,1127,4,977948809
7934,7934,53,521,5,977974445
7935,7935,53,2867,4,977980283
7936,7936,53,522,4,977986347
7937,7937,53,1129,5,977973989
7938,7938,53,1994,5,977973857
7939,7939,53,1057,5,977979794
7940,7940,53,2797,5,977981423
7941,7941,53,1059,5,977985959
7942,7942,53,1997,5,977980114
7945,7945,53,456,5,977983226
7946,7946,53,529,5,977982851
7947,7947,53,457,5,977972897
7948,7948,53,2000,4,977985197
7950,7950,53,1200,5,977950192
7951,7951,53,2003,4,977980504
7952,7952,53,1201,5,977949751
7954,7954,53,3671,5,977949804
7955,7955,53,2005,5,977981423
7956,7956,53,1130,5,977980245
7958,7958,53,2943,4,977984368
7959,7959,53,1205,4,977950419
7960,7960,53,3747,5,977984409
7961,7961,53,2872,5,977981423
7962,7962,53,1206,5,977975954
7963,7963,53,1060,5,977984183
7964,7964,53,1207,5,977982054
7965,7965,53,1061,5,977985339
7966,7966,53,3676,4,977980073
7967,7967,53,1208,5,977950113
7968,7968,53,2875,4,977979375
7969,7969,53,532,5,977980624
7970,7970,53,608,5,977953833
7971,7971,53,70,4,977974764
7972,7972,53,538,5,977984959
7973,7973,53,76,4,977976467
7974,7974,53,3751,4,977949021
7975,7975,53,2012,4,977949944
7976,7976,53,1210,4,977976093
7977,7977,53,3752,5,977949368
7979,7979,53,1211,5,977984565
7980,7980,53,1212,5,977953833
7981,7981,53,2952,5,977973053
7982,7982,53,2015,4,977981473
7983,7983,53,1213,5,977981936
7984,7984,53,1214,5,977972897
7986,7986,53,1215,5,977976377
7988,7988,53,3685,5,977984565
7989,7989,53,2956,4,977974560
7990,7990,53,2019,5,977982037
7992,7992,53,3686,4,977974560
7993,7993,53,1218,5,977953928
7994,7994,53,1219,5,977952986
7995,7995,53,1073,5,977981423
7996,7996,53,2959,5,977949181
7997,7997,53,541,5,977975993
7998,7998,53,543,4,977974279
7999,7999,53,1077,4,977976020
8000,8000,53,617,5,977985555
8001,8001,53,81,4,977986913
8002,8002,53,2021,5,977976717
8005,8005,53,1221,5,977981832
8006,8006,53,1222,5,977950236
8008,8008,53,2890,5,977984009
8009,8009,53,3693,5,977980245
8010,8010,53,1225,5,977981851
8011,8011,53,2028,5,977950075
8013,8013,53,2968,5,977976093
8014,8014,53,3698,4,977976717
8015,8015,53,551,5,977979615
8016,8016,53,480,4,977976120
8017,8017,53,1088,4,977979846
8018,8018,53,482,5,977973175
8019,8019,53,1089,5,977972897
8020,8020,53,94,4,977984694
8021,8021,53,2100,5,977981473
8022,8022,53,1300,5,977983335
8023,8023,53,3770,4,977974414
8024,8024,53,1302,4,977983091
8025,8025,53,3917,5,977980504
8026,8026,53,2105,5,977976377
8027,8027,53,3918,4,977980829
8028,8028,53,2106,4,977950489
8031,8031,53,1305,5,977982826
8032,8032,53,2038,4,977948959
8033,8033,53,1090,5,977950042
8034,8034,53,1092,4,977974414
8036,8036,53,1094,4,977983091
8037,8037,53,561,5,977973053
8038,8038,53,1095,5,977983091
8039,8039,53,562,5,977984721
8041,8041,53,492,4,977979265
8043,8043,53,493,4,977984368
8044,8044,53,494,4,977974279
8045,8045,53,2112,4,977985703
8046,8046,53,3926,4,977977489
8047,8047,53,2114,4,977984657
8049,8049,53,3927,4,977976093
8050,8050,53,1240,5,977972897
8051,8051,53,2116,5,977976185
8053,8053,53,1242,5,977950113
8054,8054,53,2118,5,977974136
8055,8055,53,3785,4,977980283
8056,8056,53,2046,4,977976467
8057,8057,53,1244,5,977981832
8058,8058,53,2985,5,977976467
8059,8059,53,1246,5,977983143
8062,8062,53,1247,5,977981973
8063,8063,54,3873,4,977944377
8064,8064,54,1193,5,977944039
8065,8065,54,1269,4,977944422
8066,8066,54,1276,4,977944321
8067,8067,54,1278,5,977944600
8068,8068,54,2150,5,977944787
8069,8069,54,2300,4,977944535
8070,8070,54,3037,4,977944816
8071,8071,54,1292,4,977944377
8072,8072,54,909,4,977944787
8074,8074,54,3049,4,977944280
8075,8075,54,1394,4,977944688
8077,8077,54,3072,4,977944246
8078,8078,54,898,5,977944422
8079,8079,54,1641,4,977944816
8080,8080,54,3421,4,977944816
8082,8082,54,3504,4,977944422
8083,8083,54,3507,5,977944889
8086,8086,54,3363,5,977944688
8087,8087,54,235,4,977944787
8089,8089,54,260,4,977944080
8091,8091,54,34,4,977944859
8092,8092,54,2788,5,977944535
8093,8093,54,2791,5,977944816
8094,8094,54,3671,4,977944787
8095,8095,54,1206,4,977944081
8096,8096,54,1136,4,977944280
8097,8097,54,3685,4,977944688
8098,8098,54,1079,5,977944859
8099,8099,54,1230,5,977944321
8100,8100,54,1304,4,977944535
8101,8101,54,1234,4,977944280
8102,8102,54,1235,4,977944600
8103,8103,55,589,5,977948346
8105,8105,55,593,4,977939130
8106,8106,55,678,4,977942882
8108,8108,55,3114,5,977943112
8109,8109,55,912,4,977939165
8110,8110,55,1704,5,977943112
8112,8112,55,3250,4,977939083
8113,8113,55,110,5,977943155
8114,8114,55,150,4,977948415
8115,8115,55,1784,4,977948394
8116,8116,55,318,5,977942882
8118,8118,55,2687,4,977942827
8119,8119,55,2761,5,977948346
8120,8120,55,2762,5,977943181
8121,8121,55,356,5,977948435
8124,8124,55,527,5,977942911
8125,8125,55,457,5,977948394
8126,8126,55,3672,4,977939597
8129,8129,56,2997,4,977938823
8130,8130,56,588,5,977939869
8131,8131,56,1,5,977938855
8132,8132,56,6,4,977938981
8133,8133,56,3948,4,977939606
8134,8134,56,1408,4,977939394
8136,8136,56,3019,4,977938593
8138,8138,56,2302,4,977939927
8139,8139,56,1500,5,977939120
8141,8141,56,3114,5,977939727
8143,8143,56,2321,5,977939897
8144,8144,56,2329,5,977939120
8146,8146,56,1617,5,977938772
8147,8147,56,2427,5,977939358
8148,8148,56,2355,5,977939167
8149,8149,56,2359,5,977939167
8150,8150,56,2289,4,977938855
8152,8152,56,1635,5,977939120
8153,8153,56,1641,5,977939869
8155,8155,56,110,4,977939358
8158,8158,56,2396,4,977939033
8159,8159,56,2542,5,977939869
8160,8160,56,2706,4,977939897
8161,8161,56,150,4,977939033
8162,8162,56,151,5,977939394
8166,8166,56,161,4,977938981
8167,8167,56,1923,4,977939751
8168,8168,56,2580,4,977938881
8169,8169,56,318,4,977938823
8170,8170,56,246,5,977938927
8171,8171,56,25,4,977939082
8172,8172,56,2762,4,977938904
8173,8173,56,34,5,977939697
8174,8174,56,36,4,977939120
8175,8175,56,39,4,977939697
8176,8176,56,364,5,977939120
8177,8177,56,296,4,977938797
8178,8178,56,3728,5,977938723
8179,8179,56,2858,5,977938723
8180,8180,56,440,4,977939897
8183,8183,56,50,5,977938952
8184,8184,56,527,5,977938593
8185,8185,56,457,5,977939120
8187,8187,56,608,5,977938797
8188,8188,56,1213,5,977938746
8189,8189,56,474,4,977939144
8190,8190,56,2890,5,977939358
8191,8191,56,2028,5,977939358
8192,8192,56,1089,4,977938855
8193,8193,56,628,5,977939006
8195,8195,57,1249,4,977935330
8199,8199,57,3793,4,977935453
8200,8200,57,3794,4,977935656
8203,8203,57,1258,4,977936132
8205,8205,57,661,4,977935511
8206,8206,57,1196,4,977936099
8207,8207,57,1198,4,977936062
8208,8208,57,1199,5,977934700
8209,8209,57,1274,4,977936099
8214,8214,57,1394,5,977934618
8218,8218,57,3160,5,977934561
8220,8220,57,2395,5,977934774
8221,8221,57,3429,4,977935226
8225,8225,57,2804,5,977936132
8227,8227,57,3556,4,977935453
8232,8232,57,3578,4,977935330
8235,8235,57,47,4,977935272
8236,8236,57,2858,4,977935226
8238,8238,57,2791,4,977935272
8239,8239,57,522,4,977935656
8244,8244,57,3751,4,977935272
8247,8247,57,1221,4,977933908
8248,8248,57,2890,4,977933908
8249,8249,57,1225,4,977936099
8250,8250,57,3694,4,977936062
8251,8251,57,1228,5,977936062
8252,8252,57,551,4,977935410
8254,8254,57,2033,4,977935697
8255,8255,57,1090,4,977936132
8256,8256,57,1242,4,977936132
8258,8258,57,3786,4,977935697
8259,8259,58,1175,5,977934190
8260,8260,58,1249,5,977937308
8261,8261,58,2989,4,977935475
8263,8263,58,1321,5,977937696
8264,8264,58,2124,4,977941553
8267,8267,58,1250,5,977936590
8268,8268,58,2991,4,977935515
8269,8269,58,2054,4,977942104
8270,8270,58,1253,4,977938544
8271,8271,58,720,5,977937005
8272,8272,58,3868,5,977941054
8273,8273,58,2993,4,977935370
8274,8274,58,2057,4,977941185
8275,8275,58,2997,5,977937036
8276,8276,58,1258,5,977936749
8277,8277,58,1185,5,977937134
8279,8279,58,1186,4,977940336
8280,8280,58,589,4,977935076
8281,8281,58,1333,5,977937515
8282,8282,58,3948,4,977941493
8283,8283,58,1261,5,977935216
8284,8284,58,2137,4,977938976
8285,8285,58,2064,4,977936872
8286,8286,58,1408,5,977935370
8287,8287,58,2139,4,977940446
8288,8288,58,1264,4,977934987
8289,8289,58,1193,5,977933866
8290,8290,58,1267,5,977936716
8291,8291,58,661,5,977939066
8293,8293,58,1196,4,977934987
8294,8294,58,1197,5,977935034
8295,8295,58,736,4,977936173
8296,8296,58,1198,5,977935034
8298,8298,58,1199,5,977934627
8299,8299,58,592,4,977935170
8300,8300,58,593,5,977936684
8301,8301,58,594,5,977937809
8302,8302,58,595,4,977940969
8303,8303,58,596,5,977938362
8304,8304,58,2140,5,977941845
8305,8305,58,1411,5,977937275
8306,8306,58,3019,4,977937932
8308,8308,58,1270,4,977938029
8309,8309,58,2076,5,977938362
8310,8310,58,1274,5,977937420
8311,8311,58,741,5,977938362
8312,8312,58,1275,4,977935370
8313,8313,58,2078,5,977941185
8314,8314,58,671,4,977942030
8315,8315,58,674,4,977942104
8319,8319,58,3893,4,977941523
8320,8320,58,1282,5,977937809
8322,8322,58,1356,4,977935414
8323,8323,58,750,5,977936749
8324,8324,58,1358,5,977937242
8325,8325,58,1285,4,977938392
8327,8327,58,1287,4,977935138
8328,8328,58,1288,5,977937165
8329,8329,58,3101,4,977941364
8330,8330,58,2300,4,977937275
8331,8331,58,1500,4,977939004
8332,8332,58,3033,4,977942193
8334,8334,58,3108,4,977940341
8335,8335,58,3039,4,977940969
8336,8336,58,903,5,977937515
8338,8338,58,904,4,977936684
8339,8339,58,2094,4,977936113
8340,8340,58,1294,4,977936648
8341,8341,58,1295,4,977938976
8342,8342,58,908,5,977936749
8343,8343,58,1298,4,977938756
8344,8344,58,695,4,977940916
8345,8345,58,2311,5,977942063
8346,8346,58,3114,5,977936872
8347,8347,58,2313,5,977937973
8350,8350,58,1517,5,977938890
8351,8351,58,1371,5,977936326
8352,8352,58,2174,5,977937747
8354,8354,58,912,5,977936779
8356,8356,58,913,5,977936827
8357,8357,58,2176,4,977938869
